Claim type,"Nutrient substance, food or food category", Claim, Conditions of use of the claim / Restrictions of use / Reasons for non-authorisation, Health relationship, EFSA opinion reference, Commission Regulation, Status, Entry Id
Art.13(1),Alpha-linolenic acid (ALA),ALA contributes to the maintenance of normal blood cholesterol levels,"The claim may be used only for food which is at least a source of ALA as referred to in the claim SOURCE OF OMEGA 3 FATTY ACIDS as listed in the Annex to Regulation (EC) No 1924/2006. 
Information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 2 g of ALA.",maintenance of normal blood cholesterol concentrations,2009;7(9):1252,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"493, 568"
,,,,,2011;9(6):2203,,,
Art.13(1),Activated charcoal,Activated charcoal contributes to reducing excessive flatulence after eating,The claim may be used only for food which contains 1 g of activated charcoal per quantified portion. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with 1 g which should be taken at least 30 minutes before and 1 g shortly after the meal.,reduction of excessive intestinal gas accumulation,2011;9(4):2049,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,1938
Art.13(1),Barley grain fibre,Barley grain fibre contributes to an increase in faecal bulk,The claim may be used only for food which is high in that fibre as referred to in the claim HIGH FIBRE as listed in the Annex to Regulation (EC) No 1924/2006.,increase in faecal bulk,2011;9(6):2249,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,819
Art.13(1),Beta-glucans,Beta-glucans contribute to the maintenance of normal blood cholesterol levels,"The claim may be used only for food which contains at least 1 g of beta-glucans from oats, oat bran, barley, barley bran, or from mixtures of these sources per quantified portion. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 3 g of beta-glucans from oats, oat bran, barley, barley bran, or from mixtures of these beta-glucans.",maintenance of normal blood cholesterol concentrations,2009;7(9):1254,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"754, 755, 757, 801, 1236, 1299, 1465, 2934"
,,,,,2011;9(6):2207,,,
Art.13(1),Betaine,Betaine contributes to normal homocysteine metabolism,"The claim may be used only for food which contains at least 500 mg of betaine per quantified portion. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 1,5 g of betaine.  					In order to bear the claim information shall be given to the consumer that a daily intake in excess of 4 g may significantly increase blood cholesterol levels.",contribution to normal homocysteine metabolism,2011;9(4):2052,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,4325
Art.13(1),Biotin,Biotin contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,energy-yielding metabolism,2009;7(9):1209,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"114, 117"
Art.13(1),Biotin,Biotin contributes to normal functioning of the nervous system,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,function of the nervous system,2009;7(9):1209,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,116
Art.13(1),Biotin,Biotin contributes to normal macronutrient metabolism,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,contribution to normal macronutrient metabolism,2009;7(9):1209,Commission Regulation (EU) 432/2012 of 16/05/2012,Authorised,"113, 114, 117, 4661"
